,Propeller Imbalance,Total Propeller Torque,Torque Ratio,time
0,0.0,15.168,1.0,11934
1,0.0,56.408,1.0,11933
2,0.0,120.716,1.0,11932
3,0.0,227.548,1.0,11931
4,0.0,350.612,1.0,11930
5,0.0,492.556,1.0,11929
6,0.0,664.154,1.0,11928
7,0.0,875.978,1.0,11927
8,0.0,1289.81,1.0,11926
9,0.0,15.83,1.0,11925
10,0.0,54.848,1.0,11924
11,0.0,120.706,1.0,11923
12,0.0,227.59,1.0,11922
13,0.0,350.628,1.0,11921
14,0.0,492.59,1.0,11920
15,0.0,664.416,1.0,11919
16,0.0,876.196,1.0,11918
17,0.0,1289.926,1.0,11917
18,0.0,17.716,1.0,11916
19,0.0,54.518,1.0,11915
20,0.0,120.712,1.0,11914
21,0.0,227.602,1.0,11913
22,0.0,350.564,1.0,11912
23,0.0,492.44,1.0,11911
24,0.0,664.216,1.0,11910
25,0.0,876.268,1.0,11909
26,0.0,1290.152,1.0,11908
27,0.0,20.036,1.0,11907
28,0.0,52.962,1.0,11906
29,0.0,120.702,1.0,11905
30,0.0,227.594,1.0,11904
31,0.0,350.6,1.0,11903
32,0.0,492.576,1.0,11902
33,0.0,664.394,1.0,11901
34,0.0,876.104,1.0,11900
35,0.0,1290.08,1.0,11899
36,0.0,21.494,1.0,11898
37,0.0,52.036,1.0,11897
38,0.0,120.716,1.0,11896
39,0.0,227.582,1.0,11895
40,0.0,350.566,1.0,11894
41,0.0,492.508,1.0,11893
42,0.0,664.308,1.0,11892
43,0.0,875.992,1.0,11891
44,0.0,1289.758,1.0,11890
45,0.0,22.286,1.0,11889
46,0.0,52.226,1.0,11888
47,0.0,120.722,1.0,11887
48,0.0,227.596,1.0,11886
49,0.0,350.658,1.0,11885
50,0.0,492.472,1.0,11884
51,0.0,664.388,1.0,11883
52,0.0,876.008,1.0,11882
53,0.0,1289.688,1.0,11881
54,0.0,23.166,1.0,11880
55,0.0,51.83,1.0,11879
56,0.0,120.728,1.0,11878
57,0.0,227.604,1.0,11877
58,0.0,350.672,1.0,11876
59,0.0,492.63,1.0,11875
60,0.0,664.116,1.0,11874
61,0.0,876.108,1.0,11873
62,0.0,1289.602,1.0,11872
63,0.0,23.398,1.0,11871
64,0.0,50.064,1.0,11870
65,0.0,120.73,1.0,11869
66,0.0,227.588,1.0,11868
67,0.0,350.576,1.0,11867
68,0.0,492.492,1.0,11866
69,0.0,664.304,1.0,11865
70,0.0,876.062,1.0,11864
71,0.0,1289.93,1.0,11863
72,0.0,23.296,1.0,11862
73,0.0,49.816,1.0,11861
74,0.0,120.726,1.0,11860
75,0.0,227.604,1.0,11859
76,0.0,350.642,1.0,11858
77,0.0,492.51,1.0,11857
78,0.0,664.09,1.0,11856
79,0.0,876.008,1.0,11855
80,0.0,1290.058,1.0,11854
81,0.0,22.092,1.0,11853
82,0.0,49.258,1.0,11852
83,0.0,120.73,1.0,11851
84,0.0,227.584,1.0,11850
85,0.0,350.608,1.0,11849
86,0.0,492.666,1.0,11848
87,0.0,664.362,1.0,11847
88,0.0,876.134,1.0,11846
89,0.0,1289.784,1.0,11845
90,0.0,20.8,1.0,11844
91,0.0,48.93,1.0,11843
92,0.0,120.742,1.0,11842
93,0.0,227.612,1.0,11841
94,0.0,350.656,1.0,11840
95,0.0,492.512,1.0,11839
96,0.0,664.088,1.0,11838
97,0.0,875.98,1.0,11837
98,0.0,1289.63,1.0,11836
99,0.0,18.198,1.0,11835
100,0.0,48.402,1.0,11834
101,0.0,120.738,1.0,11833
102,0.0,227.568,1.0,11832
103,0.0,350.6,1.0,11831
104,0.0,492.674,1.0,11830
105,0.0,664.276,1.0,11829
106,0.0,875.98,1.0,11828
107,0.0,1289.65,1.0,11827
108,0.0,16.87,1.0,11826
109,0.0,47.464,1.0,11825
110,0.0,120.752,1.0,11824
111,0.0,227.618,1.0,11823
112,0.0,350.668,1.0,11822
113,0.0,492.536,1.0,11821
114,0.0,664.322,1.0,11820
115,0.0,876.05,1.0,11819
116,0.0,1290.138,1.0,11818
117,0.0,13.512,1.0,11817
118,0.0,47.88,1.0,11816
119,0.0,120.728,1.0,11815
120,0.0,227.618,1.0,11814
121,0.0,350.598,1.0,11813
122,0.0,492.594,1.0,11812
123,0.0,664.316,1.0,11811
124,0.0,876.254,1.0,11810
125,0.0,1290.042,1.0,11809
126,0.0,11.196,1.0,11808
127,0.0,46.766,1.0,11807
128,0.0,120.732,1.0,11806
129,0.0,227.626,1.0,11805
130,0.0,350.7,1.0,11804
131,0.0,492.61,1.0,11803
132,0.0,664.144,1.0,11802
133,0.0,876.266,1.0,11801
134,0.0,1290.116,1.0,11800
135,0.0,10.674,1.0,11799
136,0.0,46.034,1.0,11798
137,0.0,120.762,1.0,11797
138,0.0,227.626,1.0,11796
139,0.0,350.608,1.0,11795
140,0.0,492.732,1.0,11794
141,0.0,664.202,1.0,11793
142,0.0,876.074,1.0,11792
143,0.0,1289.854,1.0,11791
144,0.0,10.608,1.0,11790
145,0.0,46.054,1.0,11789
146,0.0,120.74,1.0,11788
147,0.0,227.622,1.0,11787
148,0.0,350.612,1.0,11786
149,0.0,492.568,1.0,11785
150,0.0,664.29,1.0,11784
151,0.0,876.148,1.0,11783
152,0.0,1290.092,1.0,11782
153,0.0,10.89,1.0,11781
154,0.0,45.416,1.0,11780
155,0.0,120.75,1.0,11779
156,0.0,227.63,1.0,11778
157,0.0,350.61,1.0,11777
158,0.0,492.652,1.0,11776
159,0.0,664.222,1.0,11775
160,0.0,875.952,1.0,11774
161,0.0,1289.892,1.0,11773
162,0.0,12.362,1.0,11772
163,0.0,45.474,1.0,11771
164,0.0,120.754,1.0,11770
165,0.0,227.62,1.0,11769
166,0.0,350.656,1.0,11768
167,0.0,492.59,1.0,11767
168,0.0,664.12,1.0,11766
169,0.0,875.962,1.0,11765
170,0.0,1289.872,1.0,11764
171,0.0,13.232,1.0,11763
172,0.0,45.286,1.0,11762
173,0.0,120.756,1.0,11761
174,0.0,227.624,1.0,11760
175,0.0,350.62,1.0,11759
176,0.0,492.594,1.0,11758
177,0.0,664.188,1.0,11757
178,0.0,876.164,1.0,11756
179,0.0,1290.286,1.0,11755
180,0.0,15.106,1.0,11754
181,0.0,45.342,1.0,11753
182,0.0,120.774,1.0,11752
183,0.0,227.634,1.0,11751
184,0.0,350.654,1.0,11750
185,0.0,492.76,1.0,11749
186,0.0,664.21,1.0,11748
187,0.0,876.146,1.0,11747
188,0.0,1289.732,1.0,11746
189,0.0,16.222,1.0,11745
190,0.0,44.896,1.0,11744
191,0.0,120.764,1.0,11743
192,0.0,227.642,1.0,11742
193,0.0,350.624,1.0,11741
194,0.0,492.656,1.0,11740
195,0.0,664.22,1.0,11739
196,0.0,876.232,1.0,11738
197,0.0,1290.3,1.0,11737
198,0.0,17.686,1.0,11736
199,0.0,44.926,1.0,11735
200,0.0,120.75,1.0,11734
201,0.0,227.614,1.0,11733
202,0.0,350.668,1.0,11732
203,0.0,492.678,1.0,11731
204,0.0,664.076,1.0,11730
205,0.0,876.126,1.0,11729
206,0.0,1290.472,1.0,11728
207,0.0,18.044,1.0,11727
208,0.0,44.896,1.0,11726
209,0.0,120.768,1.0,11725
210,0.0,227.634,1.0,11724
211,0.0,350.674,1.0,11723
212,0.0,492.794,1.0,11722
213,0.0,663.988,1.0,11721
214,0.0,876.104,1.0,11720
215,0.0,1289.768,1.0,11719
216,0.0,18.296,1.0,11718
217,0.0,44.84,1.0,11717
218,0.0,120.758,1.0,11716
219,0.0,227.648,1.0,11715
220,0.0,350.676,1.0,11714
221,0.0,492.788,1.0,11713
222,0.0,664.234,1.0,11712
223,0.0,876.2,1.0,11711
224,0.0,1290.36,1.0,11710
225,0.0,19.03,1.0,11709
226,0.0,44.924,1.0,11708
227,0.0,120.776,1.0,11707
228,0.0,227.648,1.0,11706
229,0.0,350.68,1.0,11705
230,0.0,492.672,1.0,11704
231,0.0,664.142,1.0,11703
232,0.0,875.902,1.0,11702
233,0.0,1290.06,1.0,11701
234,0.0,13.18,1.0,11700
235,0.0,55.992,1.0,11699
236,0.0,120.704,1.0,11698
237,0.0,227.562,1.0,11697
238,0.0,350.586,1.0,11696
239,0.0,492.442,1.0,11695
240,0.0,664.352,1.0,11694
241,0.0,876.262,1.0,11693
242,0.0,1290.096,1.0,11692
243,0.0,16.026,1.0,11691
244,0.0,53.106,1.0,11690
245,0.0,120.704,1.0,11689
246,0.0,227.572,1.0,11688
247,0.0,350.592,1.0,11687
248,0.0,492.43,1.0,11686
249,0.0,664.416,1.0,11685
250,0.0,875.994,1.0,11684
251,0.0,1289.446,1.0,11683
252,0.0,17.23,1.0,11682
253,0.0,51.926,1.0,11681
254,0.0,120.71,1.0,11680
255,0.0,227.6,1.0,11679
256,0.0,350.572,1.0,11678
257,0.0,492.508,1.0,11677
258,0.0,664.278,1.0,11676
259,0.0,876.164,1.0,11675
260,0.0,1289.61,1.0,11674
261,0.0,20.116,1.0,11673
262,0.0,51.772,1.0,11672
263,0.0,120.704,1.0,11671
264,0.0,227.58,1.0,11670
265,0.0,350.628,1.0,11669
266,0.0,492.61,1.0,11668
267,0.0,664.142,1.0,11667
268,0.0,876.072,1.0,11666
269,0.0,1290.072,1.0,11665
270,0.0,20.662,1.0,11664
271,0.0,51.626,1.0,11663
272,0.0,120.712,1.0,11662
273,0.0,227.6,1.0,11661
274,0.0,350.578,1.0,11660
275,0.0,492.466,1.0,11659
276,0.0,664.188,1.0,11658
277,0.0,876.266,1.0,11657
278,0.0,1289.474,1.0,11656
279,0.0,21.916,1.0,11655
280,0.0,50.6,1.0,11654
281,0.0,120.724,1.0,11653
282,0.0,227.594,1.0,11652
283,0.0,350.594,1.0,11651
284,0.0,492.542,1.0,11650
285,0.0,664.396,1.0,11649
286,0.0,875.982,1.0,11648
287,0.0,1289.584,1.0,11647
288,0.0,22.672,1.0,11646
289,0.0,50.762,1.0,11645
290,0.0,120.718,1.0,11644
291,0.0,227.562,1.0,11643
292,0.0,350.606,1.0,11642
293,0.0,492.526,1.0,11641
294,0.0,664.256,1.0,11640
295,0.0,876.008,1.0,11639
296,0.0,1289.996,1.0,11638
297,0.0,23.398,1.0,11637
298,0.0,50.1,1.0,11636
299,0.0,120.732,1.0,11635
300,0.0,227.572,1.0,11634
301,0.0,350.614,1.0,11633
302,0.0,492.612,1.0,11632
303,0.0,664.142,1.0,11631
304,0.0,876.262,1.0,11630
305,0.0,1290.116,1.0,11629
306,0.0,23.018,1.0,11628
307,0.0,49.034,1.0,11627
308,0.0,120.712,1.0,11626
309,0.0,227.58,1.0,11625
310,0.0,350.588,1.0,11624
311,0.0,492.65,1.0,11623
312,0.0,664.216,1.0,11622
313,0.0,876.076,1.0,11621
314,0.0,1289.58,1.0,11620
315,0.0,22.738,1.0,11619
316,0.0,48.594,1.0,11618
317,0.0,120.726,1.0,11617
318,0.0,227.58,1.0,11616
319,0.0,350.65,1.0,11615
320,0.0,492.564,1.0,11614
321,0.0,664.088,1.0,11613
322,0.0,876.244,1.0,11612
323,0.0,1290.134,1.0,11611
324,0.0,21.96,1.0,11610
325,0.0,47.984,1.0,11609
326,0.0,120.724,1.0,11608
327,0.0,227.582,1.0,11607
328,0.0,350.638,1.0,11606
329,0.0,492.538,1.0,11605
330,0.0,664.264,1.0,11604
331,0.0,876.05,1.0,11603
332,0.0,1290.128,1.0,11602
333,0.0,19.686,1.0,11601
334,0.0,47.288,1.0,11600
335,0.0,120.744,1.0,11599
336,0.0,227.592,1.0,11598
337,0.0,350.592,1.0,11597
338,0.0,492.596,1.0,11596
339,0.0,664.074,1.0,11595
340,0.0,876.278,1.0,11594
341,0.0,1289.536,1.0,11593
342,0.0,16.796,1.0,11592
343,0.0,47.056,1.0,11591
344,0.0,120.724,1.0,11590
345,0.0,227.614,1.0,11589
346,0.0,350.59,1.0,11588
347,0.0,492.686,1.0,11587
348,0.0,664.254,1.0,11586
349,0.0,876.052,1.0,11585
350,0.0,1290.114,1.0,11584
351,0.0,14.344,1.0,11583
352,0.0,46.044,1.0,11582
353,0.0,120.738,1.0,11581
354,0.0,227.608,1.0,11580
355,0.0,350.64,1.0,11579
356,0.0,492.702,1.0,11578
357,0.0,664.218,1.0,11577
358,0.0,876.226,1.0,11576
359,0.0,1289.794,1.0,11575
360,0.0,12.668,1.0,11574
361,0.0,46.15,1.0,11573
362,0.0,120.754,1.0,11572
363,0.0,227.618,1.0,11571
364,0.0,350.666,1.0,11570
365,0.0,492.546,1.0,11569
366,0.0,664.294,1.0,11568
367,0.0,876.106,1.0,11567
368,0.0,1290.27,1.0,11566
369,0.0,11.166,1.0,11565
370,0.0,45.71,1.0,11564
371,0.0,120.756,1.0,11563
372,0.0,227.618,1.0,11562
373,0.0,350.6,1.0,11561
374,0.0,492.552,1.0,11560
375,0.0,664.31,1.0,11559
376,0.0,876.04,1.0,11558
377,0.0,1289.752,1.0,11557
378,0.0,10.682,1.0,11556
379,0.0,45.352,1.0,11555
380,0.0,120.744,1.0,11554
381,0.0,227.626,1.0,11553
382,0.0,350.7,1.0,11552
383,0.0,492.666,1.0,11551
384,0.0,664.22,1.0,11550
385,0.0,876.254,1.0,11549
386,0.0,1290.07,1.0,11548
387,0.0,11.496,1.0,11547
388,0.0,45.454,1.0,11546
389,0.0,120.75,1.0,11545
390,0.0,227.6,1.0,11544
391,0.0,350.612,1.0,11543
392,0.0,492.722,1.0,11542
393,0.0,664.106,1.0,11541
394,0.0,876.242,1.0,11540
395,0.0,1290.042,1.0,11539
396,0.0,11.62,1.0,11538
397,0.0,45.424,1.0,11537
398,0.0,120.748,1.0,11536
399,0.0,227.63,1.0,11535
400,0.0,350.614,1.0,11534
401,0.0,492.628,1.0,11533
402,0.0,664.286,1.0,11532
403,0.0,876.25,1.0,11531
404,0.0,1289.646,1.0,11530
405,0.0,13.488,1.0,11529
406,0.0,45.046,1.0,11528
407,0.0,120.74,1.0,11527
408,0.0,227.628,1.0,11526
409,0.0,350.658,1.0,11525
410,0.0,492.74,1.0,11524
411,0.0,664.12,1.0,11523
412,0.0,876.1,1.0,11522
413,0.0,1290.114,1.0,11521
414,0.0,14.67,1.0,11520
415,0.0,44.756,1.0,11519
416,0.0,120.754,1.0,11518
417,0.0,227.62,1.0,11517
418,0.0,350.614,1.0,11516
419,0.0,492.596,1.0,11515
420,0.0,664.028,1.0,11514
421,0.0,875.934,1.0,11513
422,0.0,1289.632,1.0,11512
423,0.0,16.31,1.0,11511
424,0.0,44.886,1.0,11510
425,0.0,120.75,1.0,11509
426,0.0,227.63,1.0,11508
427,0.0,350.654,1.0,11507
428,0.0,492.658,1.0,11506
429,0.0,664.15,1.0,11505
430,0.0,875.992,1.0,11504
431,0.0,1290.048,1.0,11503
432,0.0,17.758,1.0,11502
433,0.0,44.812,1.0,11501
434,0.0,120.75,1.0,11500
435,0.0,227.594,1.0,11499
436,0.0,350.636,1.0,11498
437,0.0,492.668,1.0,11497
438,0.0,664.06,1.0,11496
439,0.0,875.934,1.0,11495
440,0.0,1290.356,1.0,11494
441,0.0,17.624,1.0,11493
442,0.0,44.816,1.0,11492
443,0.0,120.772,1.0,11491
444,0.0,227.63,1.0,11490
445,0.0,350.656,1.0,11489
446,0.0,492.64,1.0,11488
447,0.0,664.19,1.0,11487
448,0.0,876.078,1.0,11486
449,0.0,1289.88,1.0,11485
450,0.0,18.98,1.0,11484
451,0.0,44.976,1.0,11483
452,0.0,120.754,1.0,11482
453,0.0,227.592,1.0,11481
